c_id,company_name,city,relation
CMatched-885,Deutsche Sportjugend (dsj) ,Frankfurt,LOBBYIST
CMatched-886,BOLDT GmbH,Düsseldorf,LOBBYIST
CMatched-887,bedrocan ,Veendam,CLIENT
CMatched-888,Zero Waste Germany e.V.,Kiel,LOBBYIST
CMatched-889,ChemCologne e.V.,Köln,LOBBYIST
CMatched-890,smarvis GmbH,Erfurt,LOBBYIST
CMatched-891,QUNDIS GmbH,Erfurt,LOBBYIST
CMatched-892,Dr. Theodor Stiebel Werke GmbH & Co. KG,Holzminden,LOBBYIST
CMatched-893,RHÖN-KLINIKUM AG,Bad Neustadt a.d. Saale,LOBBYIST
CMatched-894,Wirtschaftsvereinigung Groß- und Außenhandel Hamburg e.V. I WGA,Hamburg,LOBBYIST
CMatched-895,Hüttenwerke Krupp Mannesmann GmbH (HKM),Duisburg,LOBBYIST
CMatched-896,Bündnis für Tierschutzpolitik,Berlin,LOBBYIST
CMatched-897,Brancheninitiative Produktverantwortung,Köln,LOBBYIST
CMatched-898,ADAC Luftrettung gGmbH,München,LOBBYIST
CMatched-899,BlackRock Asset Management Deutschland AG,München,LOBBYIST
CMatched-900,Norddeutscher Bankenverband e.V.,Hamburg,LOBBYIST
CMatched-901,Norddeutscher Bankenverband e.V.,Berlin,LOBBYIST
CMatched-902,AER Kooperation AG,Bielefeld,LOBBYIST
CMatched-903,Berufsverband der Heilpädagoginnen und Heilpädagogen - Fachverband für Heilpädagogik e.V. (BHP),Berlin,LOBBYIST
CMatched-904,ECE Work & Live GmbH & Co. KG,Hamburg,LOBBYIST
CMatched-905,ECE Work & Live GmbH & Co. KG,Hamburg,LOBBYIST
CMatched-907,Deutsche Gesellschaft für die Vereinten Nationen - Landesverband Bayern e.V.,München,LOBBYIST
CMatched-908,Deutsche Gesellschaft für die Vereinten Nationen - Landesverband Bayern e.V.,Hamburg,LOBBYIST
CMatched-909,STEYR ARMS GmbH,4442 Kleinraming - Österreich,LOBBYIST
CMatched-910,Evangelischer Verband Kirche-Wirtschaft-Arbeitswelt e.V.,Hannover,LOBBYIST
CMatched-911,Bundesarbeitsgemeinschaft der Jagdgenossenschaften und Eigenjagdbesitzer,Berlin,LOBBYIST
CMatched-912,Bundesinnungsverband für Orthopädietechnik,Dortmund,LOBBYIST
CMatched-913,Verisure Deutschland,Ratingen,LOBBYIST
CMatched-914,SCHUFA Holding AG,Wiesbaden,LOBBYIST
CMatched-915,hamburg.global -  Netzwerk für weltweite Gerechtigkeit,Hamburg,LOBBYIST
CMatched-916,QMS - Qualitätsring Medizinische Software e.V.,Brüggen,LOBBYIST
CMatched-917,Landvolk Göttingen Kreisbauernverband e.V.,Rosdorf,LOBBYIST
CMatched-918,Bayerischer Brauerbund e. V.,München,LOBBYIST
CMatched-919,Apothekerkammer des Saarlandes,Saarbrücken,LOBBYIST
CMatched-920,Eavor GmbH,Düsseldorf,LOBBYIST
CMatched-921,Initiative D21 e.V.,Berlin,LOBBYIST
CMatched-922,Landvolk Niedersachsen Kreisverband Bremervörde-Zeven e.V.,Zeven,LOBBYIST
